Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuitePartOne,,,,2019-08-03 18:19:02,2019-08-03 18:19:11,8.374s,INCOMPLETE
,,,,,,,
Test Cases/SoapTestCase,,,,2019-08-03 18:19:03,2019-08-03 18:19:11,7.684s,PASSED
"response = sendRequest(findTestObject(""PartOne/1-Request - Add""))",,,,2019-08-03 18:19:04,2019-08-03 18:19:08,4.377s,PASSED
"println(verifyElementPropertyValue(response, ""AddResponse.AddResult"", ""320""))",,,,2019-08-03 18:19:08,2019-08-03 18:19:08,0.452s,PASSED
"responseTwo = sendRequest(findTestObject(""PartOne/2-Request-Divide""))",,,,2019-08-03 18:19:08,2019-08-03 18:19:09,0.577s,PASSED
"println(verifyElementPropertyValue(responseTwo, ""DivideResponse.DivideResult"", ""10""))",,,,2019-08-03 18:19:09,2019-08-03 18:19:09,0.080s,PASSED
"responseThree = sendRequest(findTestObject(""PartOne/3-Request-multiply""))",,,,2019-08-03 18:19:09,2019-08-03 18:19:10,0.576s,PASSED
"println(verifyElementPropertyValue(responseThree, ""MultiplyResponse.MultiplyResult"", ""10""))",,,,2019-08-03 18:19:10,2019-08-03 18:19:10,0.080s,PASSED
"responseFour = sendRequest(findTestObject(""PartOne/3-Request-Substract""))",,,,2019-08-03 18:19:10,2019-08-03 18:19:10,0.538s,PASSED
"verifyElementPropertyValue(responseFour, ""SubtractResponse.SubtractResult"", ""10"")",,,,2019-08-03 18:19:10,2019-08-03 18:19:10,0.073s,PASSED
"println(verifyElementText(responseFour, ""SubtractResponse.SubtractResult"", ""10""))",,,,2019-08-03 18:19:10,2019-08-03 18:19:11,0.088s,PASSED
